TVM-Name|TVM-ID|EPGDATA-Name|EPGDATA-ID|TVSP-Name|TVSP-ID|VDR-Channel-Namen
||VOXup|12125||'VOXup'
||Bibel TV HD|280||'Bibel TV HD'
||Comedy Central|532||'Comedy Central'
||münchen.tv HD|262||'münchen.tv HD'
13th Street|88|13TH STREET|471|13th Street Universal|13TH|'13th Street' '13th Street HD' '13th Street (KD)' '13th Street (S)'
3SAT|12|3sat|56|3sat|3SAT|'3sat' '3sat HD' '3Sat HD'
Animal Planet|158|Animal Planet|1183|Animal Planet|APLAN|'Animal Planet' 'Animal Planet HD'
Animax|222|||||'Animax' 'ANIMAX'
Anixe HD|269|Anixe HD Serie|537|ANIXE|ANIXE|'ANIXE HD' 'ANIXE SD'
ARD|1|Das Erste|71|Das Erste|ARD|'Das Erste' 'Das Erste HD'
Arte|38|Arte|58|ARTE|ARTE|'arte' 'arte HD'
||ATV|115|ATV|ATV|'ATV' 'ATV HD'
ATV II|459|ATV2|761|ATV II|ATV2|'ATV2'
||A und E|136058|A&E|AETV|'A&E'
AXN|177|AXN|468|AXN|AXN|'AXN' 'AXN HD' 'AXN Action'
B3|5|BR|51|BR|BR|'Bayerisches FS Süd' 'Bayerisches FS Süd HD' 'Bayerisches Fernsehen Süd' 'Bayerisches Fernsehen Süd HD' 'BR Fernsehen Süd' 'BR Fernsehen Süd HD' 'BR Fernsehen SÃŒd' 'BR Fernsehen SÃŒd HD' 'BR Süd' 'BR Süd HD' 'Bayerisches FS Nord' 'Bayerisches FS Nord HD' 'Bayerisches Fernsehen Nord' 'Bayerisches Fernsehen Nord HD' 'BR Fernsehen Nord' 'BR Fernsehen Nord HD' 'BR Nord' 'BR Nord HD'
BBC|61|BBC World News|67|BBC World News|BBC|'BBC World' 'BBC World News' 'BBC World News (eng)' 'BBC World News Europe HD'
BloombergTV|125|Bloomberg TV|127|Bloomberg Europe TV|BLM|'Bloomberg Europe TV' 'Bloomberg'
Boomerang|211|||Boomerang|BOOM|'Boomerang' 'Boomerang HD'
BR Alpha|56|ARD alpha|104|ARD alpha|ALPHA|'ARD-alpha' 'ARD-alpha HD'
Cartoon Network|219|Cartoon Network|531|Cartoon Network|C-NET|'Cartoon Network' 'Cartoon Network HD'
Classica|95|Classica|133|Classica|CLASS|'Classica' 'CLASSICA' 'CLASSICA HD'
CNN|42|CNN|69|CNN International|CNN|'CNN' 'CNN (eng)' 'CNN Int.' 'CNN HD' 'CNN HD (eng)' 'CNN International HD'
Discovery Channel|467|Discovery Channel|138|||'Discovery Channel' 'Discovery Channel'
Discovery HD|467hd|Discovery HD|490|Discovery HD|HDDIS|'Discovery HD' 'Discovery HD' 'Discovery HD KD'
Disney Channel|111|Disney Channel|139|Disney Channel|DISNE|'Disney Channel' 'Disney Channel HD' 'Disney Ch. HD' 'Disney HD'
Disney Cinemagic|279|Disney Cinemagic|630|||'Disney Cinemagic' 'Disney Cinemagic'
Disney Cinemagic HD|279hd|Disney Cinemagic HD|631|Disney Cinemagic (HD)|DCM|'Disney Cinemagic HD' 'Disney Cinemagic HD'
Disney XD|292|Disney XD|657|Disney XD|DXD|'Disney XD' 'Disney XD HD' 'Disney XD (S)'
DSF|45|SPORT1|64|SPORT1|SPORT|'SPORT1' 'SPORT1 HD'
E! Entertainment Television|201|E! Entertainment|758|E! Entertainment|E!|'E!' 'E! Entertainment' 'E! Entertainm. HD'
EinsExtra|128|tagesschau24|100|tagesschau24|TAG24|'tagesschau24' 'tagesschau24 HD'
EinsFestival|122|One|146|ONE|FES|'Einsfestival' 'Einsfestival HD' 'ONE HD'
EinsMuXx|123|||EinsPlus|MUX|'EinsPlus' 'EinsPlus HD'
EURONEWS|48|Euronews|68|euronews|EURON|'EuroNews' 'euronews' 'euronews (eng)'
Eurosport 2|239|Eurosport 2|504|Eurosport 2|EURO2|'Eurosport 2' 'Eurosport 2 Ger' 'Eurosport 2 HD' 'EUROSPORT 2'
EUROSPORT|30|Eurosport|65|Eurosport 1|EURO|'Eurosport Deutschland' 'Eurosport' 'Eurosport 1' 'EUROSPORT' 'Eurosport 1 Deutschland'
Eurosport HD|30hd|||||'Eurosport HD' 'Eurosport 1 HD'
Extreme Sports Channel|153|Extreme Sports Channel|469|EXTREME SPORTS|EX-SP|'EXTREME SPORTS' 'Extreme Sports'
||||Family TV|FAMTV|'Family TV'
FOX Channel|264|FOX|565|FOX|FOX|'FOX' 'Fox Serie' 'Fox HD' 'FOX HD (KD)' 'Fox HD (S)' 'Fox Serie (S)'
Glitz*|421|||TNT Glitz|GLITZ|'TNT Glitz' 'TNT Glitz HD' 'TNT glitz HD'
Goldstar TV|113|GoldStar TV|152|Goldstar TV|GOLD|'Goldstar TV'
Gute Laune TV|205|Gute Laune TV|487|Gute Laune TV|LAUNE|'Gute Laune TV'
H3|7|HR|49|HR|HR|'hr-fernsehen' 'hr-fernsehen HD'
Heimatkanal|89|Heimatkanal|154|Heimatkanal|HEIMA|'Heimatkanal'
History Channel|181|History|452|||'HISTORY'
HISTORY HD|181hd|History HD|632|History HD|HISHD|'HISTORY HD' 'History HD (S)'
Junior|96|Junior|160|Junior|JUNIO|'Junior'
Kabel|39|kabel eins|44|kabel eins|K1|'kabel eins' 'kabel eins HD' 'kabel 1 HD'
kabel eins classics|209|kabel eins classics|492|kabel eins classics|K1CLA|'kabel eins CLASSICS' 'Kabel Eins Classics'
Kabel eins Doku|167|||kabel eins Doku|K1DOKU|'kabel eins Doku'
Ki.Ka|76|KiKA|57|KiKA|KIKA|'KiKA' 'KiKA HD'
Kinowelt TV|182|Kinowelt TV|450|KinoweltTV|KINOW|'KinoweltTV' 'KinoweltTV HD' 'Kinowelt TV' 'Kinowelt TV HD'
MDR|41|MDR|48|MDR Sachsen-Anhalt|MDR-ST|'MDR S-Anhalt' 'MDR S-Anhalt HD'
MDR|41|MDR|48|MDR Sachsen|MDR-SN|'MDR Sachsen' 'MDR Sachsen HD'
MDR|41|MDR|48|MDR Thüringen|MDR-TH|'MDR Thüringen' 'MDR Thüringen HD'
MGM|151|||MGM HD|MGM|'MGM' 'MGM HD'
